id,sentence
0,Mua hàng chiều ngày 06/03/2023.
0,"Nhận hàng sáng ngày 07/03/2023
Ly màu hồng có hoạ tiết giá 272"
0,"000
Ly màu đen giá 233"
0,"000
Giảm giá được 20"
0,"000
Hôm nay nhận 2 ly này là ly thứ 6 rồi."
0,Nắp cải tiến so với mẫu cũ khá tiện lợi vì chỉ cần bật qua phải + nhấn là mở nắp.
0,Có 1 vấn đề nhỏ là nếu miếng lò xo ở nắp gãy hoặc rỉ sét thì khi mở nắp chắc phải xoay mở luôn nắp bự ra mới uống đc.
0,Chất lượng giữ nhiệt với mình là ổn.
0,Vỏ ly dễ trầy xước nếu bị rơi
0,va đập.
0,Hàng của Look & Look thì đẹp
0,chất lượng.
0,Tiki giao hàng nhanh.
0,Mình đánh giá 5⭐️
0,sẽ mua tiếp những lần sau.
1,Hôm qua mình mua 1 bình về vợ thấy thích quá.
1,Nên đặt thêm cho vợ 1 bình nữa
1,sáng nay đã giao rồi
1,Tiki quá tuyệt vời luôn.
1,Gói hàng chắn chắc
1,shipper thân thiện nữa.
1,Không có chỗ nào chê luôn.
1,"5 sao cho Tiki nha ❤
Nhưng mình hỏi xíu"
1,là bình mình nhận thì nó có hơi hở với không kín.
1,Không biết có thể khắc phục bằng cách nào không?
2,Mua lần thứ 2
2,giữ lạnh cũng tầm được hơn 12 tiếng
2,cái nắp sau 1 thời gian sử dụng sẽ không còn tự bật lên được nữa
2,phải bấm nút rồi mở thủ công
2,lần này sản phầm bị lỗi lúc phun hơn hay sao
2,tạo thành chấm nhỏ li ti trên thân ly hơi xấu 😭
3,Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả
3,mà thật sự rất thất vọng khi nhận được hàng
3,sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục
3,giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm
3,nhận lại là sự chăm sóc khách hàng không có tâm trong khi là 1 shop có uy tín
3,nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán??
3,Thôi coi như là 1 bài học
3,mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm
4,Tiki giao hàng nhanh
4,đóng gói cẩn thận.
4,Về thương hiệu LocknLock
4,mình đã sử dụng nhiều
4,thương hiệu khá uy tín về chất lượng
4,mẫu mã.
4,Riêng sản phẩm này thì thiết kế vừa tay
4,chắc
4,mang phong cách tối giản
4,đẹp
4,hữu dụng.
4,Mọi người luôn ủng hộ sản phẩm của LocknLock nhé 👌👌👌
5,Mình mua 2 bình
5,bình đẹp
5,dễ dùng
5,khuyên các bác nên mua thêm ống hút vì những lúc lái xe ko thể ngửa cổ lên tu được
5,nắp bật chắc chắn
5,rơi cái là gẫy.
5,Vẫn tặng shop 5* vì mình thích sản phẩm này
6,Tuyệt vời
6,sản phẩm này đáp ứng đúng 99
6,9% kỳ vọng về chất lượng của mình.
6,Nhưng có một điều nhỏ là khi nhận được hàng thì có vẻ bình đã được nhân viên lắp giúp giăng cao su rồi
6,chắc không sao.
6,Về hình minh họa thì các bạn hoàn toàn có thể xem các comment khác nha
6,y như vậy đó.
6,Đề nghị các bạn đều phải sắm bình giữ nhiệt nha.
7,Tiki giao hàng siêu nhanh.
7,Tối khuya đặt hàng
7,chiều hôm sau đã nhận được.
7,Đúng mẫu
7,đúng màu.
7,Tuy nhiên phần nắm gài ko đc chắc chắn
7,phải ấn mạnh tay mới vào
7,rất nhạy
7,đụng nhẹ nút thôi là bung nắp bật ra rồi.
7,Không biết các bình khác có bị trải nghiệm tương tự ko?
7,Mình đã mua 1 bình thế này từ Katinat
7,rất chắc chắn
7,êm tay.
8,Giao hàng quá nhanh
8,đóng gói chắc chắn.
8,Ly đẹp
8,nhẹ
8,chất lượng dù chưa dùng thử
8,của LocknLock thì tin tưởng.
9,tầm vài năm trước mình cũng đã mua một ly giữ nhiệt của l&l
9,bị mất nên nay mua lại.
9,mình không nhớ tên ly cũ
9,phần nắp của ly này cải tiến rõ rệt so với cái cũ mình đã dùng đặc biệt là tính năng nhấn để mở rất tiện.
9,mình sử dụng tầm lần thứ 3 là đã hoàn toàn không thấy mùi nhựa nữa
9,sờ vào nắp ly cũng không có cảm giác nhựa kém chất lượng.
9,chỉ có điều không hiểu sao phần nắp ly hơi bị vênh như hình :((
10,Giao hàng ko có ống hút
10,h tổng đài cskh báo số lượng có hạn
10,"khi đặt thông tin thì vẫn sáng ko bị ẩn ; 
Khi nhận ko thấy quà tặng"
11,Bình đẹp lắm nha mn
11,chưa dùng nên ko đánh giá đc độ giữ nhiệt
11,bình cầm rất ổn
11,chắc tay.
11,Mình có gói TikiNow nên đặt buổi tối là 8h30 sáng hôm sau nhận hàng luôn
11,chưa bao giờ mua hàng online
11,trải nghiệm tuyệt vời vậy luôn!
12,Bình rất nhẹ
12,giữ nhiệt tốt
12,lớp ngoài nhám cầm rất chắc tay
12,phần nắp có nút bật mở rất thuận tiện
12,đế bình có dán cao su chống ngã.
12,Đóng gói cẩn thận.
12,Rất hài lòng về sản phẩm này
13,Giao hàng nhanh
13,đóng gói cẩn thận nên không bị móp hộp.
13,sản phẩm chính hãng nhìn tổng quan thì ok.
13,chỉ có 1 điểm chưa thích trên sản phẩm là bình thiết kế phần xoay của nắp trong thân bình nên nhìn ko đẹp mắt.
13,Giá cả hợp lý
13,nắp ly kín
13,dùng 1 chạm cũng khá ổn
13,phù hợp đối tượng các bạn làm văn phòng
13,ly giữ lạnh tốt.
13,vẫn bin mồ hôi xung quanh miệng ly.
14,Bình xịn :))).
14,nắp có chốt khóa k sợ đổ nước.
14,k bị rỉ nước.có lỗ thông hơi.
14,đế su k bị thấm nước.
14,giữ nhiệt lạnh chắc tầm 6 tiếng.
14,Vì mình hay uống nước nên bình k đủ nước cho mình uống ^^ nên k biết nó giữ nhiệt đc mấy tiếng
14,mình bỏ nước mát
14,sau 4 tiếng vẫn còn mát.
15,Đã nhận được hàng
15,bình đẹp nha mọi người
15,hàng giao nhanh cực kì.
15,Chưa sài nên không biết giữ lạnh được bao lâu
16,Bình đẹp
16,màu xanh nhám mình khá thích.
16,Có chế độ khóa cho nắp k bị bung ra ở phần nắp ly
16,phiên bản này khá okla.
16,Điểm trừ xíu là thiết kế miệng nhỏ nên cắm ổng hút k được :v
16,đánh giá chung mình vẫn ưng mẫu thiết kế này.
17,thực sự thất vọng về kiện hàng này
17,hàng giao tới thì kiện hàng rách nát
17,có dấu hiệu bị xé ra từ trước
17,vỏ bên trong cũng bị xé rách phần đáy như hình
17,còn về bình thì khi mở khóa nắp ko bật ra
17,dùng tay cố gắng mở cũng ko mở được.
17,quá thất vọng
17,"hy vọng tiki đổi hàng
cập nhật tình hình sau 2 ngày: phải nói là tiki quá uy tín"
17,bộ phận cskh quá tốt ạ.
17,Ngay ngày hôm sau khi mình báo hàng lỗi thì tiki đến lấy liền
17,thực hiện đổi hàng cho mình rất nhanh chỉ trong 2 ngày mình đã nhận được hàng
17,lúc mình nhận dc là tối khuya chủ nhật
