ID,Nội dung,Đánh giá,Label
1,Tôi chưa rõ cách bật chế độ ban đêm.,5,4
2,Có thể kết nối thiết bị với tivi không?,4,4
3,Ứng dụng có hoạt động trên iOS không?,3,4
4,Làm sao để cài đặt sản phẩm này?,4,4
5,Có tài liệu PDF hướng dẫn không?,3,4
6,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4
7,Tôi chưa rõ cách sử dụng chức năng chính.,4,4
8,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4
9,Tôi không tìm thấy mục cài đặt trên ứng dụng.,5,4
10,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4
11,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,4,4
12,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4
13,Có thể gửi hướng dẫn chi tiết qua email không?,3,4
14,Hướng dẫn lắp đặt không rõ ràng.,4,4
15,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4
16,Hướng dẫn cài đặt phần mềm quá phức tạp.,5,4
17,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4
18,Ứng dụng không hiển thị đúng như hướng dẫn.,4,4
19,"Hướng dẫn sử dụng quá ngắn, thiếu chi tiết.",3,4
20,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,4,4
21,Ứng dụng yêu cầu quyền truy cập gì?,4,4
22,Làm sao để cài đặt sản phẩm này?,3,4
23,Có thể sử dụng sản phẩm khi đang sạc không?,3,4
24,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4
25,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,5,4
26,Làm sao để cài đặt sản phẩm này?,5,4
27,Hướng dẫn thiếu phần kết nối Wi-Fi.,5,4
28,Có thể sử dụng sản phẩm khi đang sạc không?,4,4
29,Tôi cần trợ giúp cài đặt bước đầu tiên.,4,4
30,Làm sao để ghép nối với loa ngoài?,3,4
31,Sản phẩm có cần cài driver không?,5,4
32,Có thể dùng chung tài khoản cho nhiều thiết bị không?,4,4
33,Có cần cập nhật firmware trước khi sử dụng không?,5,4
34,Ứng dụng không hiển thị đúng như hướng dẫn.,5,4
35,Tôi muốn biết cách sử dụng chức năng nâng cao.,5,4
36,Có thể kết nối thiết bị với tivi không?,3,4
37,Có cách nào sử dụng không cần ứng dụng không?,4,4
38,Tôi muốn biết cách update phần mềm.,5,4
39,Cách bảo trì sản phẩm này như thế nào?,5,4
40,Tôi không hiểu các nút chức năng trên máy.,4,4
41,Có thể gửi hướng dẫn chi tiết qua email không?,4,4
42,Có cần tạo tài khoản mới để sử dụng không?,3,4
43,Làm thế nào để kiểm tra pin?,4,4
44,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4
45,Tôi muốn biết cách sử dụng chức năng nâng cao.,3,4
46,"Hướng dẫn sử dụng quá ngắn, thiếu chi tiết.",5,4
47,Ứng dụng có cần đăng nhập không?,5,4
48,Có hướng dẫn sử dụng online không?,4,4
49,Ứng dụng có cần đăng nhập không?,3,4
50,Tôi chưa rõ cách sử dụng chức năng chính.,3,4
51,Có thể dùng chung tài khoản cho nhiều thiết bị không?,3,4
52,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4
53,Có cần tạo tài khoản mới để sử dụng không?,3,4
54,Có video hướng dẫn sử dụng không?,5,4
55,Có cần cập nhật firmware trước khi sử dụng không?,5,4
56,Có video hướng dẫn sử dụng không?,4,4
57,Có video hướng dẫn sử dụng không?,5,4
58,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4
59,Tôi không rõ cách thay pin cho thiết bị.,4,4
60,Thiết bị có chế độ tiết kiệm pin không?,3,4
61,Có thể kết nối thiết bị với tivi không?,3,4
62,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,3,4
63,Có thể sử dụng sản phẩm khi đang sạc không?,3,4
64,Sách hướng dẫn hơi khó hiểu.,4,4
65,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4
66,Có nút nào để khôi phục cài đặt gốc không?,5,4
67,Làm thế nào để kiểm tra pin?,4,4
68,Có video hướng dẫn sử dụng không?,3,4
69,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,5,4
70,Làm sao để ghép nối với loa ngoài?,5,4
71,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,4,4
72,Ứng dụng có hoạt động trên iOS không?,3,4
73,Tôi gặp khó khăn khi bật nguồn thiết bị.,3,4
74,Tôi không hiểu các nút chức năng trên máy.,4,4
75,Không rõ cách kết nối Bluetooth.,3,4
76,Làm thế nào để reset thiết bị về mặc định?,5,4
77,Tôi cần hướng dẫn chi tiết từng bước.,4,4
78,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,4,4
79,Tôi cần trợ giúp cài đặt bước đầu tiên.,5,4
80,Có nút nào để khôi phục cài đặt gốc không?,4,4
81,Ứng dụng có hoạt động trên iOS không?,4,4
82,Có cần tạo tài khoản mới để sử dụng không?,4,4
83,Làm sao để cài đặt sản phẩm này?,5,4
84,Tôi chưa rõ cách sử dụng chức năng chính.,4,4
85,Có video hướng dẫn sử dụng không?,3,4
86,Tôi gặp khó khăn khi bật nguồn thiết bị.,4,4
87,Không rõ cách kết nối Bluetooth.,5,4
88,Có bản demo sử dụng không?,4,4
89,Tôi không biết cách bật chế độ an toàn.,3,4
90,Có thể kết nối thiết bị với tivi không?,5,4
91,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,4,4
92,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,5,4
93,Có cách nào sử dụng không cần ứng dụng không?,4,4
94,Hướng dẫn thiếu phần kết nối Wi-Fi.,5,4
95,Ứng dụng có cần đăng nhập không?,4,4
96,Tôi không hiểu các nút chức năng trên máy.,4,4
97,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4
98,Làm sao để cài đặt sản phẩm này?,4,4
99,Ứng dụng có cần đăng nhập không?,4,4
100,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4
101,Tôi không biết cách điều chỉnh âm lượng.,3,4
102,Có bản demo sử dụng không?,5,4
103,Sản phẩm có cần cài driver không?,5,4
104,Làm sao để ghép nối với loa ngoài?,3,4
105,Có cần tạo tài khoản mới để sử dụng không?,5,4
106,Ứng dụng không hiển thị đúng như hướng dẫn.,4,4
107,Tôi không tìm thấy mục cài đặt trên ứng dụng.,5,4
108,Sản phẩm có cần cài driver không?,4,4
109,Cách bảo trì sản phẩm này như thế nào?,5,4
110,Có thể gửi hướng dẫn chi tiết qua email không?,3,4
111,Làm sao để cài đặt sản phẩm này?,3,4
112,Ứng dụng không hiển thị đúng như hướng dẫn.,5,4
113,Sản phẩm có cần cài driver không?,5,4
114,Tôi cần trợ giúp cài đặt bước đầu tiên.,4,4
115,Ứng dụng có hoạt động trên iOS không?,4,4
116,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4
117,Có thể gửi hướng dẫn chi tiết qua email không?,3,4
118,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4
